update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
19,2432,72960,0,397,409,397,409,0.03,-0.02,0.009895833333333333,0.027604166666666666,0.8950520833333333,-0.005371316918171942,-0.00596977211534977,0.023868604912422597,0.323881346732378
20,2560,76800,0,435,446,435,446,0.03,-0.02,0.01171875,0.0265625,0.8919270833333334,-0.003508535766741261,-0.004290477765607648,0.022887046332471073,0.3046165984123945
21,2688,80640,0,473,486,473,486,0.03,-0.02,0.010416666666666666,0.0296875,0.8958333333333334,-0.0012935517297592014,-0.004343202512245625,0.025745877297595143,0.2806653771549463
22,2816,84480,0,513,524,513,524,0.03,-0.02,0.008854166666666666,0.026041666666666668,0.9203125,-0.00035262684104964137,-0.0029528491031669546,0.02444774261675775,0.2749613933265209
23,2944,88320,0,556,564,556,564,0.03,-0.02,0.01015625,0.02890625,0.91328125,-0.0011310699919704348,-0.004002203557320172,0.024118698202073574,0.26252043060958385
24,3072,92160,0,597,606,597,606,0.03,-0.02,0.009114583333333334,0.02890625,0.9122395833333333,-0.0033974843681789935,-0.004950463800923899,0.022143472800962627,0.2719644848257303
25,3200,96000,0,636,648,636,648,0.03,-0.02,0.010677083333333334,0.033854166666666664,0.8934895833333333,-0.0009475456608925015,-0.0028905874205520377,0.025247751851566136,0.3051666859537363
26,3328,99840,0,678,689,678,689,0.03,-0.02,0.0109375,0.027083333333333334,0.9171875,-0.0018370112520642579,-0.002851192868547514,0.019560293992981315,0.25045614689588547
27,3456,103680,0,718,729,718,729,0.03,-0.02,0.0078125,0.030989583333333334,0.9161458333333333,-0.0032996144727803767,-0.003913308319170028,0.018459848826751113,0.24617801792919636
28,3584,107520,0,755,771,755,771,0.03,-0.02,0.008333333333333333,0.026041666666666668,0.91796875,0.0009112139523494989,-0.0029390879499260336,0.024764200439676642,0.24376566242426634
29,3712,111360,0,796,813,796,813,0.03,-0.02,0.00703125,0.0265625,0.9263020833333333,-0.001119944965466857,-0.0025299414119217545,0.01719759771367535,0.20539436768740416
30,3840,115200,0,836,848,836,848,0.03,-0.02,0.00390625,0.03046875,0.9263020833333333,-0.0011712266423273832,-0.0036795188498217613,0.02025470696389675,0.2176874615252018
31,3968,119040,0,878,892,878,892,0.03,-0.02,0.0078125,0.025,0.9138020833333333,-0.00102449583937414,-0.0034929561952594668,0.020871627843007445,0.22763866744935513
32,4096,122880,0,917,930,917,930,0.03,-0.02,0.007291666666666667,0.05182291666666667,0.896875,0.011353654437698424,-0.001312202065719248,0.043256553588435054,0.2560691498219967
33,4224,126720,0,951,958,951,958,0.03,-0.02,0.0125,0.14166666666666666,0.8166666666666667,0.016667356831021607,-0.004249823454301804,0.0687351985834539,0.3842976875603199
34,4352,130560,0,965,966,965,966,0.03,-0.02,0.025520833333333333,0.4122395833333333,0.5359375,0.008782898541539907,-0.002559949643909931,0.0782305970788002,0.793498557060957
