update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
21,2688,80640,0,417,429,417,429,0.03,-0.02,0.014322916666666666,0.028645833333333332,0.8713541666666667,-0.018247409374453127,-0.005601535260211676,0.022484818822704256,0.3981380742043257
22,2816,84480,0,453,465,453,465,0.03,-0.02,0.0109375,0.026041666666666668,0.8921875,-0.017883452121168375,-0.005330575833795592,0.021278303931467235,0.38653381168842316
23,2944,88320,0,488,505,488,505,0.03,-0.02,0.009375,0.02265625,0.8903645833333333,-0.014059291745070368,-0.00263806659495458,0.021023442270234227,0.36554911732673645
24,3072,92160,0,524,532,524,532,0.03,-0.02,0.0125,0.12708333333333333,0.7966145833333333,-0.006906445254571736,-0.002282567980728345,0.04742436786182225,0.4722677003592253
25,3200,96000,0,545,555,545,555,0.03,-0.02,0.021614583333333333,0.28880208333333335,0.6510416666666666,-0.013975398847833276,-0.0016548400453757495,0.061551369028165936,0.7182707414031029
26,3328,99840,0,582,592,582,592,0.03,-0.02,0.02734375,0.02578125,0.86015625,-0.008265050186309963,-0.004568565229419619,0.046213062247261405,0.4467169400304556
27,3456,103680,0,610,613,610,613,0.03,-0.02,0.04401041666666667,0.17630208333333333,0.7385416666666667,-0.010112453019246459,-0.0025748157349880785,0.06566687021404505,0.6728512234985828
28,3584,107520,0,621,623,621,623,0.03,-0.02,0.06640625,0.409375,0.5098958333333333,-0.03462439915165305,-0.0027162833139300346,0.061008870834484696,1.0402091890573502
29,3712,111360,0,632,636,632,636,0.03,-0.02,0.07239583333333334,0.42734375,0.46458333333333335,-0.03305751481093466,-0.002066121611278504,0.066744867246598,1.0727304741740227
30,3840,115200,0,645,651,645,651,0.03,-0.02,0.05755208333333333,0.41171875,0.484375,-0.02899037324823439,-0.0034199833316961303,0.07564394222572446,1.0565393716096878
31,3968,119040,0,659,662,659,662,0.03,-0.02,0.08255208333333333,0.43776041666666665,0.4744791666666667,-0.03599931229837239,-0.005612901702988893,0.07303068647161126,1.115029253065586
32,4096,122880,0,670,671,670,671,0.03,-0.02,0.10078125,0.5401041666666667,0.38723958333333336,-0.05110432859510183,-0.0028861776809208095,0.052769425325095654,1.2433810904622078
33,4224,126720,0,675,675,675,675,0.03,-0.02,0.11640625,0.61640625,0.3260416666666667,-0.06787308887578547,-0.0059113157039973885,0.03522201196756214,1.3262130245566368
34,4352,130560,0,682,695,682,695,0.03,-0.02,0.08697916666666666,0.35885416666666664,0.5231770833333333,-0.030636685783974826,-0.005059470742708072,0.07344740233384073,1.0383486188948154
