update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
23,2944,88320,0,449,461,449,461,0.03,-0.02,0.004166666666666667,0.03125,0.9252604166666667,0.007473828620277345,-0.0009607225656509399,0.02379142609424889,0.23074412811547518
24,3072,92160,0,488,501,488,501,0.03,-0.02,0.00234375,0.02734375,0.9359375,0.0076091419032309204,-0.003502286155708134,0.028625245904549956,0.21341298893094063
25,3200,96000,0,527,539,527,539,0.03,-0.02,0.00546875,0.03046875,0.91953125,0.009993618092266843,-0.003071017505135387,0.033562098164111376,0.2477609273046255
26,3328,99840,0,565,577,565,577,0.03,-0.02,0.005208333333333333,0.03411458333333333,0.9221354166666667,0.0075833238661289215,-0.0032752653787611052,0.028167325304821134,0.2150048715993762
27,3456,103680,0,605,621,605,621,0.03,-0.02,0.0049479166666666664,0.029427083333333333,0.9341145833333333,0.007300093988305889,-0.002633405849337578,0.025937190162949264,0.20233967620879412
28,3584,107520,0,649,661,649,661,0.03,-0.02,0.004427083333333333,0.03125,0.9359375,0.007044769707135856,-0.0013212167395977303,0.022688588360324502,0.198553872294724
29,3712,111360,0,688,702,688,702,0.03,-0.02,0.004427083333333333,0.025260416666666667,0.93984375,0.006128928929683752,-0.0028950901178177446,0.023705011350102723,0.18856577668339014
30,3840,115200,0,731,740,731,740,0.03,-0.02,0.0010416666666666667,0.02890625,0.9315104166666667,0.006793043299694546,-0.001642039220314473,0.0223250943236053,0.18183095753192902
31,3968,119040,0,769,784,769,784,0.03,-0.02,0.002864583333333333,0.028385416666666666,0.9268229166666667,0.003609743667766452,-0.004036449157865718,0.02044422144535929,0.1717278202995658
32,4096,122880,0,806,822,806,822,0.03,-0.02,0.002864583333333333,0.026822916666666665,0.9388020833333334,0.005436259423731826,-0.0023678391007706523,0.020325863733887672,0.15725555177778006
33,4224,126720,0,846,858,846,858,0.03,-0.02,0.002864583333333333,0.034895833333333334,0.9361979166666666,0.008689653754117899,-0.0008150894100253936,0.023334510857239366,0.1441674898378551
34,4352,130560,0,892,901,892,901,0.03,-0.02,0.0015625,0.029427083333333333,0.921875,0.009074634275748394,-4.3628650018945336e-05,0.02327115659136325,0.1678210161626339
