update,env_steps,global_steps,episode,episode_completed_tasks,episode_delivered_to_goal,total_completed_tasks,total_delivered_to_goal,waypoint_reward,active_wait_penalty,wait_action_rate,reference_wait_rate,reference_action_match_rate,loss,policy_loss,value_loss,entropy
17,2176,65280,0,310,325,310,325,0.03,-0.02,0.011979166666666667,0.023177083333333334,0.9127604166666666,-0.0011043841950595379,-0.0033639166995271808,0.025144358281977475,0.29464704915881157
18,2304,69120,0,350,365,350,365,0.03,-0.02,0.009635416666666667,0.025520833333333333,0.9088541666666666,-0.0018534005794208497,-0.0027395103534217924,0.02247336332220584,0.2957306280732155
19,2432,72960,0,388,396,388,396,0.03,-0.02,0.005989583333333334,0.05520833333333333,0.8736979166666666,0.012325944262556732,-0.0019845743954647332,0.05281966389156878,0.34569464810192585
20,2560,76800,0,410,418,410,418,0.03,-0.02,0.009895833333333333,0.21067708333333332,0.7205729166666667,0.009410587837919593,-0.006164697610074654,0.06885223113931715,0.5385951511561871
21,2688,80640,0,426,431,426,431,0.03,-0.02,0.013802083333333333,0.4119791666666667,0.5192708333333333,-0.00021055317483842373,-0.004274498511222191,0.06444225343875587,0.8044908940792084
22,2816,84480,0,437,444,437,444,0.03,-0.02,0.013802083333333333,0.46848958333333335,0.45859375,0.0005141326691955328,-0.005164174304809421,0.07320699514821172,0.8835768662393093
23,2944,88320,0,469,483,469,483,0.03,-0.02,0.0046875,0.10625,0.79609375,0.01662169606424868,-0.0033300759823760018,0.07396597205661237,0.4866061080247164
24,3072,92160,0,506,520,506,520,0.03,-0.02,0.00390625,0.022135416666666668,0.9026041666666667,-0.0002855175989679992,-0.0032332513947039843,0.0292132186004892,0.33311073668301105
25,3200,96000,0,545,548,545,548,0.03,-0.02,0.00390625,0.09869791666666666,0.8200520833333333,0.002859514264855534,-0.0028523651999421418,0.042995183961465955,0.4510203693062067
26,3328,99840,0,584,591,584,591,0.03,-0.02,0.004166666666666667,0.0390625,0.8747395833333333,0.0031634794431738555,-0.003916106099495664,0.04004162969067693,0.3697494100779295
27,3456,103680,0,621,633,621,633,0.03,-0.02,0.004427083333333333,0.027083333333333334,0.8841145833333334,0.002119663346093148,-0.001849081221735105,0.03173001576215029,0.3398932423442602
28,3584,107520,0,655,672,655,672,0.03,-0.02,0.00625,0.024479166666666666,0.8927083333333333,-0.0015244743262883276,-0.001754720025928691,0.02281064260751009,0.3192878682166338
29,3712,111360,0,694,709,694,709,0.03,-0.02,0.008072916666666667,0.032552083333333336,0.8796875,-0.004499696777202189,-0.0048961097782012075,0.023585026036016643,0.3256028462201357
30,3840,115200,0,734,746,734,746,0.03,-0.02,0.0046875,0.02890625,0.8942708333333333,-0.0002721885102801025,-0.003263894162955694,0.02617796731647104,0.28849365562200546
31,3968,119040,0,773,789,773,789,0.03,-0.02,0.00546875,0.025520833333333333,0.8979166666666667,0.0008376908954232931,-0.002252756108646281,0.02481230883859098,0.26616306975483894
32,4096,122880,0,816,831,816,831,0.03,-0.02,0.0046875,0.027864583333333335,0.9135416666666667,-0.0020511771144811064,-0.0033687797840684652,0.018248539767228067,0.22304764110594988
33,4224,126720,0,857,868,857,868,0.03,-0.02,0.00625,0.023697916666666666,0.9145833333333333,-0.002922588959336281,-0.004903010238194838,0.019636186654679477,0.22393349185585976
34,4352,130560,0,898,908,898,908,0.03,-0.02,0.0026041666666666665,0.030729166666666665,0.9109375,-0.00048581548617221415,-0.0037020466988906264,0.023031774791888893,0.23713303823024035
